id,dept,gender,admit
176,A,Male,0
177,A,Male,0
178,A,Male,0
179,A,Male,0
180,A,Male,1
181,A,Male,0
182,A,Male,1
183,A,Male,0
184,A,Male,1
185,A,Male,1
186,A,Male,1
187,A,Male,0
188,A,Male,1
189,A,Male,1
190,A,Male,1
191,A,Male,1
192,A,Male,1
193,A,Male,1
194,A,Male,1
195,A,Male,0
196,A,Male,1
197,A,Male,1
198,A,Male,1
199,A,Male,1
200,A,Male,1
201,A,Female,0
202,A,Female,1
203,A,Female,0
204,A,Female,1
205,A,Female,1
206,A,Female,1
207,A,Female,0
208,A,Female,1
209,A,Female,1
210,A,Female,1
211,A,Female,1
212,A,Female,1
213,A,Female,1
214,A,Female,1
215,A,Female,1
216,A,Female,1
217,A,Female,0
218,A,Female,0
219,A,Female,1
220,A,Female,0
221,A,Female,1
222,A,Female,0
223,A,Female,1
224,A,Female,1
225,A,Female,1
226,A,Female,1
227,A,Female,1
228,A,Female,0
229,A,Female,1
230,A,Female,0
231,A,Female,1
232,A,Female,0
233,A,Female,0
234,A,Female,0
235,A,Female,1
236,A,Female,0
237,A,Female,0
238,A,Female,0
239,A,Female,1
240,A,Female,1
241,A,Female,0
242,A,Female,0
243,A,Female,1
244,A,Female,0
245,A,Female,1
246,A,Female,1
247,A,Female,0
248,A,Female,0
249,A,Female,1
250,A,Female,1
251,B,Male,0
252,B,Male,0
253,B,Male,0
254,B,Male,1
255,B,Male,0
256,B,Male,0
257,B,Male,0
258,B,Male,1
259,B,Male,0
260,B,Male,0
261,B,Male,0
262,B,Male,1
263,B,Male,1
264,B,Male,1
265,B,Male,0
266,B,Male,0
267,B,Male,0
268,B,Male,1
269,B,Male,1
270,B,Male,0
271,B,Male,0
272,B,Male,0
273,B,Male,0
274,B,Male,1
275,B,Male,0
276,B,Male,0
277,B,Male,0
278,B,Male,0
279,B,Male,1
280,B,Male,0
281,B,Male,0
282,B,Male,0
283,B,Male,0
284,B,Male,0
285,B,Male,0
286,B,Male,1
287,B,Male,0
288,B,Male,1
289,B,Male,0
290,B,Male,0
291,B,Male,0
292,B,Male,1
293,B,Male,1
294,B,Male,0
295,B,Male,0
296,B,Male,1
297,B,Male,1
298,B,Male,1
299,B,Male,1
300,B,Male,0
301,B,Male,0
302,B,Male,0
303,B,Male,1
304,B,Male,1
305,B,Male,0
306,B,Male,0
307,B,Male,0
308,B,Male,0
309,B,Male,1
310,B,Male,1
311,B,Male,1
312,B,Male,0
313,B,Male,1
314,B,Male,1
315,B,Male,1
316,B,Male,0
317,B,Male,0
318,B,Male,1
319,B,Male,0
320,B,Male,1
321,B,Male,1
322,B,Male,1
323,B,Male,1
324,B,Male,1
325,B,Male,0
326,B,Male,1
327,B,Male,0
328,B,Male,0
329,B,Male,1
330,B,Male,1
331,B,Male,0
332,B,Male,1
333,B,Male,0
334,B,Male,0
335,B,Male,1
336,B,Male,0
337,B,Male,0
338,B,Male,1
339,B,Male,1
340,B,Male,1
341,B,Male,0
342,B,Male,0
343,B,Male,0
344,B,Male,1
345,B,Male,0
346,B,Male,1
347,B,Male,0
348,B,Male,0
349,B,Male,1
350,B,Male,0
351,B,Male,1
352,B,Male,1
353,B,Male,0
354,B,Male,1
355,B,Male,0
356,B,Male,1
357,B,Male,1
358,B,Male,1
359,B,Male,0
360,B,Male,1
361,B,Male,0
362,B,Male,1
363,B,Male,0
364,B,Male,0
365,B,Male,1
366,B,Male,1
367,B,Male,1
368,B,Male,0
369,B,Male,0
370,B,Male,0
371,B,Male,0
372,B,Male,1
373,B,Male,0
374,B,Male,0
375,B,Male,1
376,B,Male,0
377,B,Male,0
378,B,Male,0
379,B,Male,0
380,B,Male,1
381,B,Male,0
382,B,Male,0
383,B,Male,0
384,B,Male,1
385,B,Male,0
386,B,Male,0
387,B,Male,1
388,B,Male,0
389,B,Male,0
390,B,Male,0
391,B,Male,1
392,B,Male,0
393,B,Male,0
394,B,Male,0
395,B,Male,1
396,B,Male,0
397,B,Male,0
398,B,Male,0
399,B,Male,0
400,B,Male,0
401,B,Female,1
402,B,Female,1
403,B,Female,1
404,B,Female,0
405,B,Female,1
406,B,Female,1
407,B,Female,1
408,B,Female,0
409,B,Female,0
410,B,Female,1
411,B,Female,0
412,B,Female,1
413,B,Female,0
414,B,Female,0
415,B,Female,1
416,B,Female,0
417,B,Female,0
418,B,Female,0
419,B,Female,1
420,B,Female,1
421,B,Female,0
422,B,Female,0
423,B,Female,1
424,B,Female,0
425,B,Female,0
426,B,Female,0
427,B,Female,0
428,B,Female,1
429,B,Female,0
430,B,Female,0
431,B,Female,1
432,B,Female,0
433,B,Female,1
434,B,Female,0
435,B,Female,0
436,B,Female,0
437,B,Female,1
438,B,Female,0
439,B,Female,0
440,B,Female,0
441,B,Female,1
442,B,Female,0
443,B,Female,0
444,B,Female,0
445,B,Female,0
446,B,Female,1
447,B,Female,0
448,B,Female,1
449,B,Female,0
450,B,Female,0
451,B,Female,0
452,B,Female,1
453,B,Female,1
454,B,Female,1
455,B,Female,1
456,B,Female,0
457,B,Female,1
458,B,Female,0
459,B,Female,1
460,B,Female,0
461,B,Female,0
462,B,Female,0
463,B,Female,1
464,B,Female,1
465,B,Female,0
466,B,Female,0
467,B,Female,0
468,B,Female,1
469,B,Female,1
470,B,Female,0
471,B,Female,1
472,B,Female,1
473,B,Female,1
474,B,Female,0
475,B,Female,0
476,B,Female,1
477,B,Female,0
478,B,Female,0
479,B,Female,0
480,B,Female,0
481,B,Female,0
482,B,Female,0
483,B,Female,1
484,B,Female,0
485,B,Female,1
486,B,Female,1
487,B,Female,1
488,B,Female,0
489,B,Female,0
490,B,Female,0
491,B,Female,1
492,B,Female,0
493,B,Female,0
494,B,Female,0
495,B,Female,0
496,B,Female,0
497,B,Female,1
498,B,Female,0
499,B,Female,0
500,B,Female,1
501,C,Male,0
502,C,Male,1
503,C,Male,0
504,C,Male,0
505,C,Male,0
506,C,Male,1
507,C,Male,0
508,C,Male,0
509,C,Male,0
510,C,Male,0
511,C,Male,1
512,C,Male,0
513,C,Male,0
514,C,Male,0
515,C,Male,0
516,C,Male,0
517,C,Male,0
518,C,Male,0
519,C,Male,0
520,C,Male,0
521,C,Male,1
522,C,Male,0
523,C,Male,0
524,C,Male,0
525,C,Male,1
526,C,Male,0
527,C,Male,0
528,C,Male,0
529,C,Male,0
530,C,Male,0
531,C,Male,0
532,C,Male,0
533,C,Male,1
534,C,Male,0
535,C,Male,1
536,C,Male,0
537,C,Male,0
538,C,Male,0
539,C,Male,0
540,C,Male,0
541,C,Male,0
542,C,Male,0
543,C,Male,0
544,C,Male,0
545,C,Male,0
546,C,Male,1
547,C,Male,0
548,C,Male,1
549,C,Male,0
550,C,Male,1
551,C,Female,0
552,C,Female,0
553,C,Female,0
554,C,Female,0
555,C,Female,0
556,C,Female,0
557,C,Female,0
558,C,Female,0
559,C,Female,0
560,C,Female,0
561,C,Female,0
562,C,Female,0
563,C,Female,0
564,C,Female,0
565,C,Female,0
566,C,Female,0
567,C,Female,1
568,C,Female,0
569,C,Female,0
570,C,Female,0
571,C,Female,1
572,C,Female,0
573,C,Female,1
574,C,Female,0
575,C,Female,0
576,C,Female,0
577,C,Female,0
578,C,Female,1
579,C,Female,0
580,C,Female,0
581,C,Female,0
582,C,Female,0
583,C,Female,0
584,C,Female,1
585,C,Female,0
586,C,Female,0
587,C,Female,0
588,C,Female,1
589,C,Female,0
590,C,Female,1
591,C,Female,0
592,C,Female,0
593,C,Female,0
594,C,Female,1
595,C,Female,1
596,C,Female,0
597,C,Female,0
598,C,Female,0
599,C,Female,0
600,C,Female,0
601,C,Female,0
602,C,Female,1
603,C,Female,0
604,C,Female,0
605,C,Female,1
606,C,Female,0
607,C,Female,0
608,C,Female,0
609,C,Female,0
610,C,Female,0
611,C,Female,0
612,C,Female,1
613,C,Female,0
614,C,Female,0
615,C,Female,1
616,C,Female,0
617,C,Female,0
618,C,Female,0
619,C,Female,0
620,C,Female,0
621,C,Female,0
622,C,Female,0
623,C,Female,0
624,C,Female,0
625,C,Female,0
626,C,Female,0
627,C,Female,0
628,C,Female,1
629,C,Female,1
630,C,Female,0
631,C,Female,0
632,C,Female,1
633,C,Female,0
634,C,Female,0
635,C,Female,0
636,C,Female,0
637,C,Female,1
638,C,Female,0
639,C,Female,0
640,C,Female,1
641,C,Female,1
642,C,Female,0
643,C,Female,0
644,C,Female,0
645,C,Female,0
646,C,Female,0
647,C,Female,1
648,C,Female,0
649,C,Female,0
650,C,Female,0
651,C,Female,0
652,C,Female,0
653,C,Female,1
654,C,Female,0
655,C,Female,0
656,C,Female,1
657,C,Female,0
658,C,Female,0
659,C,Female,1
660,C,Female,0
661,C,Female,1
662,C,Female,0
663,C,Female,0
664,C,Female,0
665,C,Female,0
666,C,Female,0
667,C,Female,0
668,C,Female,0
669,C,Female,1
670,C,Female,1
671,C,Female,0
672,C,Female,0
673,C,Female,0
674,C,Female,1
675,C,Female,0
676,C,Female,0
677,C,Female,0
678,C,Female,0
679,C,Female,0
680,C,Female,0
681,C,Female,0
682,C,Female,0
683,C,Female,0
684,C,Female,0
685,C,Female,0
686,C,Female,0
687,C,Female,0
688,C,Female,0
689,C,Female,1
690,C,Female,0
691,C,Female,0
692,C,Female,0
693,C,Female,0
694,C,Female,0
695,C,Female,1
696,C,Female,0
697,C,Female,0
698,C,Female,0
699,C,Female,0
700,C,Female,1
